matmul_PE_0/taskIn <--> matmul_stealSide_taskOut_0; <512>
matmul_PE_6/addrIn_sync <--> sync_continuationAllocationSide_contOut_6; <64>
matmul_PE_7/addrIn_sync <--> sync_continuationAllocationSide_contOut_7; <64>
matmul_PE_8/addrIn_sync <--> sync_continuationAllocationSide_contOut_8; <64>
matmul_PE_9/addrIn_sync <--> sync_continuationAllocationSide_contOut_9; <64>
matmul_PE_10/addrIn_sync <--> sync_continuationAllocationSide_contOut_10; <64>
matmul_PE_11/addrIn_sync <--> sync_continuationAllocationSide_contOut_11; <64>
matmul_PE_12/addrIn_sync <--> sync_continuationAllocationSide_contOut_12; <64>
matmul_PE_13/addrIn_sync <--> sync_continuationAllocationSide_contOut_13; <64>
matmul_PE_14/addrIn_sync <--> sync_continuationAllocationSide_contOut_14; <64>
matmul_PE_15/addrIn_sync <--> sync_continuationAllocationSide_contOut_15; <64>
matmul_PE_16/addrIn_sync <--> sync_continuationAllocationSide_contOut_16; <64>
matmul_PE_17/addrIn_sync <--> sync_continuationAllocationSide_contOut_17; <64>
matmul_PE_18/addrIn_sync <--> sync_continuationAllocationSide_contOut_18; <64>
matmul_PE_19/addrIn_sync <--> sync_continuationAllocationSide_contOut_19; <64>
matmul_PE_20/addrIn_sync <--> sync_continuationAllocationSide_contOut_20; <64>
matmul_PE_21/addrIn_sync <--> sync_continuationAllocationSide_contOut_21; <64>
matmul_PE_22/addrIn_sync <--> sync_continuationAllocationSide_contOut_22; <64>
matmul_PE_23/addrIn_sync <--> sync_continuationAllocationSide_contOut_23; <64>
matmul_PE_24/addrIn_sync <--> sync_continuationAllocationSide_contOut_24; <64>
matmul_PE_25/addrIn_sync <--> sync_continuationAllocationSide_contOut_25; <64>
matmul_PE_26/addrIn_sync <--> sync_continuationAllocationSide_contOut_26; <64>
matmul_PE_27/addrIn_sync <--> sync_continuationAllocationSide_contOut_27; <64>
matmul_PE_28/addrIn_sync <--> sync_continuationAllocationSide_contOut_28; <64>
matmul_PE_29/addrIn_sync <--> sync_continuationAllocationSide_contOut_29; <64>
matmul_PE_30/addrIn_sync <--> sync_continuationAllocationSide_contOut_30; <64>
matmul_PE_31/addrIn_sync <--> sync_continuationAllocationSide_contOut_31; <64>
matmul_PE_32/addrIn_sync <--> sync_continuationAllocationSide_contOut_32; <64>
matmul_PE_33/addrIn_sync <--> sync_continuationAllocationSide_contOut_33; <64>
matmul_PE_34/addrIn_sync <--> sync_continuationAllocationSide_contOut_34; <64>
matmul_PE_35/addrIn_sync <--> sync_continuationAllocationSide_contOut_35; <64>
matmul_PE_36/addrIn_sync <--> sync_continuationAllocationSide_contOut_36; <64>
matmul_PE_37/addrIn_sync <--> sync_continuationAllocationSide_contOut_37; <64>
matmul_PE_38/addrIn_sync <--> sync_continuationAllocationSide_contOut_38; <64>
matmul_PE_39/addrIn_sync <--> sync_continuationAllocationSide_contOut_39; <64>
matmul_PE_40/addrIn_sync <--> sync_continuationAllocationSide_contOut_40; <64>
matmul_PE_41/addrIn_sync <--> sync_continuationAllocationSide_contOut_41; <64>
matmul_PE_42/addrIn_sync <--> sync_continuationAllocationSide_contOut_42; <64>
matmul_PE_43/addrIn_sync <--> sync_continuationAllocationSide_contOut_43; <64>
matmul_PE_44/addrIn_sync <--> sync_continuationAllocationSide_contOut_44; <64>
matmul_PE_45/addrIn_sync <--> sync_continuationAllocationSide_contOut_45; <64>
matmul_PE_46/addrIn_sync <--> sync_continuationAllocationSide_contOut_46; <64>
matmul_PE_47/addrIn_sync <--> sync_continuationAllocationSide_contOut_47; <64>
matmul_PE_48/addrIn_sync <--> sync_continuationAllocationSide_contOut_48; <64>
matmul_PE_49/addrIn_sync <--> sync_continuationAllocationSide_contOut_49; <64>
matmul_PE_50/addrIn_sync <--> sync_continuationAllocationSide_contOut_50; <64>
matmul_PE_51/addrIn_sync <--> sync_continuationAllocationSide_contOut_51; <64>
matmul_PE_52/addrIn_sync <--> sync_continuationAllocationSide_contOut_52; <64>
matmul_PE_53/addrIn_sync <--> sync_continuationAllocationSide_contOut_53; <64>
matmul_PE_54/addrIn_sync <--> sync_continuationAllocationSide_contOut_54; <64>
matmul_PE_55/addrIn_sync <--> sync_continuationAllocationSide_contOut_55; <64>
matmul_PE_56/addrIn_sync <--> sync_continuationAllocationSide_contOut_56; <64>
matmul_PE_57/addrIn_sync <--> sync_continuationAllocationSide_contOut_57; <64>
matmul_PE_58/addrIn_sync <--> sync_continuationAllocationSide_contOut_58; <64>
matmul_PE_59/addrIn_sync <--> sync_continuationAllocationSide_contOut_59; <64>
matmul_PE_60/addrIn_sync <--> sync_continuationAllocationSide_contOut_60; <64>
matmul_PE_61/addrIn_sync <--> sync_continuationAllocationSide_contOut_61; <64>
matmul_PE_62/addrIn_sync <--> sync_continuationAllocationSide_contOut_62; <64>
matmul_PE_63/addrIn_sync <--> sync_continuationAllocationSide_contOut_63; <64>
matmulAdd_PE_0/addrOut_sync <--> sync_syncSide_addrIn_64; <64>
matmulAdd_PE_1/addrOut_sync <--> sync_syncSide_addrIn_65; <64>
matmulAdd_PE_2/addrOut_sync <--> sync_syncSide_addrIn_66; <64>
matmulAdd_PE_3/addrOut_sync <--> sync_syncSide_addrIn_67; <64>
matmulAdd_PE_4/addrOut_sync <--> sync_syncSide_addrIn_68; <64>
matmulAdd_PE_5/addrOut_sync <--> sync_syncSide_addrIn_69; <64>
matmulAdd_PE_6/addrOut_sync <--> sync_syncSide_addrIn_70; <64>
matmulAdd_PE_7/addrOut_sync <--> sync_syncSide_addrIn_71; <64>
matmulAdd_PE_8/addrOut_sync <--> sync_syncSide_addrIn_72; <64>
matmulAdd_PE_9/addrOut_sync <--> sync_syncSide_addrIn_73; <64>
matmulAdd_PE_10/addrOut_sync <--> sync_syncSide_addrIn_74; <64>
matmulAdd_PE_11/addrOut_sync <--> sync_syncSide_addrIn_75; <64>
matmulAdd_PE_12/addrOut_sync <--> sync_syncSide_addrIn_76; <64>
matmulAdd_PE_13/addrOut_sync <--> sync_syncSide_addrIn_77; <64>
matmulAdd_PE_14/addrOut_sync <--> sync_syncSide_addrIn_78; <64>
matmulAdd_PE_15/addrOut_sync <--> sync_syncSide_addrIn_79; <64>
matmulAdd_PE_16/addrOut_sync <--> sync_syncSide_addrIn_80; <64>
matmulAdd_PE_17/addrOut_sync <--> sync_syncSide_addrIn_81; <64>
matmulAdd_PE_18/addrOut_sync <--> sync_syncSide_addrIn_82; <64>
matmulAdd_PE_19/addrOut_sync <--> sync_syncSide_addrIn_83; <64>
matmulAdd_PE_20/addrOut_sync <--> sync_syncSide_addrIn_84; <64>
matmulAdd_PE_21/addrOut_sync <--> sync_syncSide_addrIn_85; <64>
matmulAdd_PE_22/addrOut_sync <--> sync_syncSide_addrIn_86; <64>
matmulAdd_PE_23/addrOut_sync <--> sync_syncSide_addrIn_87; <64>
matmulAdd_PE_24/addrOut_sync <--> sync_syncSide_addrIn_88; <64>
matmulAdd_PE_25/addrOut_sync <--> sync_syncSide_addrIn_89; <64>
matmulAdd_PE_26/addrOut_sync <--> sync_syncSide_addrIn_90; <64>
matmulAdd_PE_27/addrOut_sync <--> sync_syncSide_addrIn_91; <64>
matmulAdd_PE_28/addrOut_sync <--> sync_syncSide_addrIn_92; <64>
matmulAdd_PE_29/addrOut_sync <--> sync_syncSide_addrIn_93; <64>
matmulAdd_PE_30/addrOut_sync <--> sync_syncSide_addrIn_94; <64>
matmulAdd_PE_31/addrOut_sync <--> sync_syncSide_addrIn_95; <64>
matmulAdd_PE_32/addrOut_sync <--> sync_syncSide_addrIn_96; <64>
matmulAdd_PE_33/addrOut_sync <--> sync_syncSide_addrIn_97; <64>
matmulAdd_PE_34/addrOut_sync <--> sync_syncSide_addrIn_98; <64>
matmulAdd_PE_35/addrOut_sync <--> sync_syncSide_addrIn_99; <64>
matmulAdd_PE_36/addrOut_sync <--> sync_syncSide_addrIn_100; <64>
matmulAdd_PE_37/addrOut_sync <--> sync_syncSide_addrIn_101; <64>
matmulAdd_PE_38/addrOut_sync <--> sync_syncSide_addrIn_102; <64>
matmulAdd_PE_39/addrOut_sync <--> sync_syncSide_addrIn_103; <64>
matmulAdd_PE_40/addrOut_sync <--> sync_syncSide_addrIn_104; <64>
matmulAdd_PE_41/addrOut_sync <--> sync_syncSide_addrIn_105; <64>
matmulAdd_PE_42/addrOut_sync <--> sync_syncSide_addrIn_106; <64>
matmulAdd_PE_43/addrOut_sync <--> sync_syncSide_addrIn_107; <64>
matmulAdd_PE_44/addrOut_sync <--> sync_syncSide_addrIn_108; <64>
matmulAdd_PE_45/addrOut_sync <--> sync_syncSide_addrIn_109; <64>
matmulAdd_PE_46/addrOut_sync <--> sync_syncSide_addrIn_110; <64>
matmulAdd_PE_47/addrOut_sync <--> sync_syncSide_addrIn_111; <64>
matmulAdd_PE_48/addrOut_sync <--> sync_syncSide_addrIn_112; <64>
matmulAdd_PE_49/addrOut_sync <--> sync_syncSide_addrIn_113; <64>
matmulAdd_PE_50/addrOut_sync <--> sync_syncSide_addrIn_114; <64>
matmulAdd_PE_51/addrOut_sync <--> sync_syncSide_addrIn_115; <64>
matmulAdd_PE_52/addrOut_sync <--> sync_syncSide_addrIn_116; <64>
matmulAdd_PE_53/addrOut_sync <--> sync_syncSide_addrIn_117; <64>
matmulAdd_PE_54/addrOut_sync <--> sync_syncSide_addrIn_118; <64>
matmulAdd_PE_55/addrOut_sync <--> sync_syncSide_addrIn_119; <64>
matmulAdd_PE_56/addrOut_sync <--> sync_syncSide_addrIn_120; <64>
matmulAdd_PE_57/addrOut_sync <--> sync_syncSide_addrIn_121; <64>
matmulAdd_PE_58/addrOut_sync <--> sync_syncSide_addrIn_122; <64>
matmulAdd_PE_59/addrOut_sync <--> sync_syncSide_addrIn_123; <64>
matmulAdd_PE_60/addrOut_sync <--> sync_syncSide_addrIn_124; <64>
matmulAdd_PE_61/addrOut_sync <--> sync_syncSide_addrIn_125; <64>
matmulAdd_PE_62/addrOut_sync <--> sync_syncSide_addrIn_126; <64>
matmulAdd_PE_63/addrOut_sync <--> sync_syncSide_addrIn_127; <64>
matmulAdd_PE_0/addrIn_sync <--> sync_continuationAllocationSide_contOut_64; <64>
matmulAdd_PE_1/addrIn_sync <--> sync_continuationAllocationSide_contOut_65; <64>
matmulAdd_PE_2/addrIn_sync <--> sync_continuationAllocationSide_contOut_66; <64>
matmulAdd_PE_3/addrIn_sync <--> sync_continuationAllocationSide_contOut_67; <64>
matmulAdd_PE_4/addrIn_sync <--> sync_continuationAllocationSide_contOut_68; <64>
matmulAdd_PE_5/addrIn_sync <--> sync_continuationAllocationSide_contOut_69; <64>
matmulAdd_PE_6/addrIn_sync <--> sync_continuationAllocationSide_contOut_70; <64>
matmulAdd_PE_7/addrIn_sync <--> sync_continuationAllocationSide_contOut_71; <64>
matmulAdd_PE_8/addrIn_sync <--> sync_continuationAllocationSide_contOut_72; <64>
matmulAdd_PE_9/addrIn_sync <--> sync_continuationAllocationSide_contOut_73; <64>
matmulAdd_PE_10/addrIn_sync <--> sync_continuationAllocationSide_contOut_74; <64>
matmulAdd_PE_11/addrIn_sync <--> sync_continuationAllocationSide_contOut_75; <64>
matmulAdd_PE_12/addrIn_sync <--> sync_continuationAllocationSide_contOut_76; <64>
matmulAdd_PE_13/addrIn_sync <--> sync_continuationAllocationSide_contOut_77; <64>
matmulAdd_PE_14/addrIn_sync <--> sync_continuationAllocationSide_contOut_78; <64>
matmulAdd_PE_15/addrIn_sync <--> sync_continuationAllocationSide_contOut_79; <64>
matmulAdd_PE_16/addrIn_sync <--> sync_continuationAllocationSide_contOut_80; <64>
matmulAdd_PE_17/addrIn_sync <--> sync_continuationAllocationSide_contOut_81; <64>
matmulAdd_PE_18/addrIn_sync <--> sync_continuationAllocationSide_contOut_82; <64>
matmulAdd_PE_19/addrIn_sync <--> sync_continuationAllocationSide_contOut_83; <64>
matmulAdd_PE_20/addrIn_sync <--> sync_continuationAllocationSide_contOut_84; <64>
matmulAdd_PE_21/addrIn_sync <--> sync_continuationAllocationSide_contOut_85; <64>
matmulAdd_PE_22/addrIn_sync <--> sync_continuationAllocationSide_contOut_86; <64>
matmulAdd_PE_23/addrIn_sync <--> sync_continuationAllocationSide_contOut_87; <64>
matmulAdd_PE_24/addrIn_sync <--> sync_continuationAllocationSide_contOut_88; <64>
matmulAdd_PE_25/addrIn_sync <--> sync_continuationAllocationSide_contOut_89; <64>
matmulAdd_PE_26/addrIn_sync <--> sync_continuationAllocationSide_contOut_90; <64>
matmulAdd_PE_27/addrIn_sync <--> sync_continuationAllocationSide_contOut_91; <64>
matmulAdd_PE_28/addrIn_sync <--> sync_continuationAllocationSide_contOut_92; <64>
matmulAdd_PE_29/addrIn_sync <--> sync_continuationAllocationSide_contOut_93; <64>
matmulAdd_PE_30/addrIn_sync <--> sync_continuationAllocationSide_contOut_94; <64>
matmulAdd_PE_31/addrIn_sync <--> sync_continuationAllocationSide_contOut_95; <64>
matmulAdd_PE_32/addrIn_sync <--> sync_continuationAllocationSide_contOut_96; <64>
matmulAdd_PE_33/addrIn_sync <--> sync_continuationAllocationSide_contOut_97; <64>
matmulAdd_PE_34/addrIn_sync <--> sync_continuationAllocationSide_contOut_98; <64>
matmulAdd_PE_35/addrIn_sync <--> sync_continuationAllocationSide_contOut_99; <64>
matmulAdd_PE_36/addrIn_sync <--> sync_continuationAllocationSide_contOut_100; <64>
matmulAdd_PE_37/addrIn_sync <--> sync_continuationAllocationSide_contOut_101; <64>
matmulAdd_PE_38/addrIn_sync <--> sync_continuationAllocationSide_contOut_102; <64>
matmulAdd_PE_39/addrIn_sync <--> sync_continuationAllocationSide_contOut_103; <64>
matmulAdd_PE_40/addrIn_sync <--> sync_continuationAllocationSide_contOut_104; <64>
matmulAdd_PE_41/addrIn_sync <--> sync_continuationAllocationSide_contOut_105; <64>
matmulAdd_PE_42/addrIn_sync <--> sync_continuationAllocationSide_contOut_106; <64>
matmulAdd_PE_43/addrIn_sync <--> sync_continuationAllocationSide_contOut_107; <64>
matmulAdd_PE_44/addrIn_sync <--> sync_continuationAllocationSide_contOut_108; <64>
matmulAdd_PE_45/addrIn_sync <--> sync_continuationAllocationSide_contOut_109; <64>
matmulAdd_PE_46/addrIn_sync <--> sync_continuationAllocationSide_contOut_110; <64>
matmulAdd_PE_47/addrIn_sync <--> sync_continuationAllocationSide_contOut_111; <64>
matmulAdd_PE_48/addrIn_sync <--> sync_continuationAllocationSide_contOut_112; <64>
matmulAdd_PE_49/addrIn_sync <--> sync_continuationAllocationSide_contOut_113; <64>
matmulAdd_PE_50/addrIn_sync <--> sync_continuationAllocationSide_contOut_114; <64>
matmulAdd_PE_51/addrIn_sync <--> sync_continuationAllocationSide_contOut_115; <64>
matmulAdd_PE_52/addrIn_sync <--> sync_continuationAllocationSide_contOut_116; <64>
matmulAdd_PE_53/addrIn_sync <--> sync_continuationAllocationSide_contOut_117; <64>
matmulAdd_PE_54/addrIn_sync <--> sync_continuationAllocationSide_contOut_118; <64>
matmulAdd_PE_55/addrIn_sync <--> sync_continuationAllocationSide_contOut_119; <64>
matmulAdd_PE_56/addrIn_sync <--> sync_continuationAllocationSide_contOut_120; <64>
matmulAdd_PE_57/addrIn_sync <--> sync_continuationAllocationSide_contOut_121; <64>
matmulAdd_PE_58/addrIn_sync <--> sync_continuationAllocationSide_contOut_122; <64>
matmulAdd_PE_59/addrIn_sync <--> sync_continuationAllocationSide_contOut_123; <64>
matmulAdd_PE_60/addrIn_sync <--> sync_continuationAllocationSide_contOut_124; <64>
matmulAdd_PE_61/addrIn_sync <--> sync_continuationAllocationSide_contOut_125; <64>
matmulAdd_PE_62/addrIn_sync <--> sync_continuationAllocationSide_contOut_126; <64>
matmulAdd_PE_63/addrIn_sync <--> sync_continuationAllocationSide_contOut_127; <64>
sync_PE_0/addrOut_sync <--> sync_syncSide_addrIn_128; <64>
sync_PE_1/addrOut_sync <--> sync_syncSide_addrIn_129; <64>
sync_PE_2/addrOut_sync <--> sync_syncSide_addrIn_130; <64>
sync_PE_3/addrOut_sync <--> sync_syncSide_addrIn_131; <64>
sync_PE_4/addrOut_sync <--> sync_syncSide_addrIn_132; <64>
sync_PE_5/addrOut_sync <--> sync_syncSide_addrIn_133; <64>
sync_PE_6/addrOut_sync <--> sync_syncSide_addrIn_134; <64>
sync_PE_7/addrOut_sync <--> sync_syncSide_addrIn_135; <64>
sync_PE_8/addrOut_sync <--> sync_syncSide_addrIn_136; <64>
sync_PE_9/addrOut_sync <--> sync_syncSide_addrIn_137; <64>
sync_PE_10/addrOut_sync <--> sync_syncSide_addrIn_138; <64>
sync_PE_11/addrOut_sync <--> sync_syncSide_addrIn_139; <64>
sync_PE_12/addrOut_sync <--> sync_syncSide_addrIn_140; <64>
sync_PE_13/addrOut_sync <--> sync_syncSide_addrIn_141; <64>
sync_PE_14/addrOut_sync <--> sync_syncSide_addrIn_142; <64>
sync_PE_15/addrOut_sync <--> sync_syncSide_addrIn_143; <64>
sync_PE_16/addrOut_sync <--> sync_syncSide_addrIn_144; <64>
sync_PE_17/addrOut_sync <--> sync_syncSide_addrIn_145; <64>
sync_PE_18/addrOut_sync <--> sync_syncSide_addrIn_146; <64>
sync_PE_19/addrOut_sync <--> sync_syncSide_addrIn_147; <64>
sync_PE_20/addrOut_sync <--> sync_syncSide_addrIn_148; <64>
sync_PE_21/addrOut_sync <--> sync_syncSide_addrIn_149; <64>
sync_PE_22/addrOut_sync <--> sync_syncSide_addrIn_150; <64>
sync_PE_23/addrOut_sync <--> sync_syncSide_addrIn_151; <64>
sync_PE_24/addrOut_sync <--> sync_syncSide_addrIn_152; <64>
sync_PE_25/addrOut_sync <--> sync_syncSide_addrIn_153; <64>
sync_PE_26/addrOut_sync <--> sync_syncSide_addrIn_154; <64>
sync_PE_27/addrOut_sync <--> sync_syncSide_addrIn_155; <64>
sync_PE_28/addrOut_sync <--> sync_syncSide_addrIn_156; <64>
sync_PE_29/addrOut_sync <--> sync_syncSide_addrIn_157; <64>
sync_PE_30/addrOut_sync <--> sync_syncSide_addrIn_158; <64>
sync_PE_31/addrOut_sync <--> sync_syncSide_addrIn_159; <64>
--------------------------
Connection to memory and Micro Controller:
--------------------------
matmulAdd_stealSide_axi_mgmt_vss <--> uController; <64>
matmulAdd_stealSide_vss_axi_full <--> memory; <512>
matmulAdd_continuationAllocationSide_axi_mgmt_vcas <--> uController; <64>
matmulAdd_continuationAllocationSide_vcas_axi_full <--> memory; <64>
matmulAdd_syncSide_axi_full_argRoute_0 <--> memory; <32>
matmulAdd_syncSide_axi_full_argRoute_1 <--> memory; <32>
matmul_stealSide_axi_mgmt_vss <--> uController; <64>
matmul_stealSide_vss_axi_full <--> memory; <512>
sync_stealSide_axi_mgmt_vss <--> uController; <64>
sync_stealSide_vss_axi_full <--> memory; <256>
sync_continuationAllocationSide_axi_mgmt_vcas <--> uController; <64>
sync_continuationAllocationSide_vcas_axi_full <--> memory; <64>
sync_syncSide_axi_full_argRoute_0 <--> memory; <32>
sync_syncSide_axi_full_argRoute_1 <--> memory; <32>
